,Level,Node,Selected features
31,Class,Homogeneous metal compounds,"H, Cm, K, Na, Rb, Li, Cs, Fr, Mg, Be, Sr, Ba, Ce, La, Nd, Gd, Sm, Eu, Lu, Pr, Tb, Ho, Tm, Te, Si, As, B, Ge, Sb, Al, Bi, Cr, Co, Cu, Fe, Mo, Mn, Zr, Ti, W, Ni, V, Ag, Hg, Cd, Au, Ta, Y, Ru, Pt, Re, Zn, Nb, Os, Ir, Ga, Sn, Tl, Pb, Pu, U, Tc, In, Po, Ac, Rf, Rh, Pm, Yb, Np, Bk, Es, Fm, Md, No, Charge, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, Actinoids"
32,Class,Homogeneous non-metal compounds,"C, O, P, N, S, Cl, I, F, Br, He, Ar, Se, Xe, At, Ne, Charge, Halogens, O/C, H/C, N/P"
33,Class,Hydrocarbon derivatives,"C, O, N, Li, Si, Fe, Mo, Zr, W, V, Hg, Ru, Zn, Sn, Charge, All Metals, Alkaline Metals, Transition Metals, Post Transition Metals, O/C, H/C"
34,Class,Hydrocarbons,"C, H/C"
35,Class,"Lignans, neolignans and related compounds","C, O, P, N, S, Br, Charge, Halogens, O/C, H/C, P/C"
36,Class,Lipids and lipid-like molecules,"C, O, P, N, S, Na, Ca, Mg, Si, As, Fe, Cl, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, O/C, H/C, P/C, N/P"
37,Class,Mixed metal/non-metal compounds,"C, O, P, N, S, Th, K, Na, Rb, Li, Cs, Ca, Mg, Be, Sr, Ba, Ce, Gd, Te, Si, As, B, Ge, Sb, Al, Bi, Cr, Co, Cu, Fe, Mo, Mn, Zr, Ti, W, Ni, V, Ag, Hg, Cd, Au, Ta, Y, Ru, Pd, Pt, Zn, Nb, Os, Ir, Cl, I, F, Br, Se, Ga, Sn, Tl, Pb, Xe, U, Tc, In, Po, Rh, Yb, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, Actinoids, O/C, H/C, N/P"
38,Class,"Nucleosides, nucleotides, and analogues","C, O, P, N, S, Na, Mg, Si, Mo, W, V, Pt, Cl, I, F, Br, Se, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, O/C, H/C, P/C, N/P"
39,Class,"Organic 1,3-dipolar compounds","C, O, N, S, Cl, F, Br, Charge, Halogens, O/C, H/C"
40,Class,Organic Polymers,"C, O, P, N, S, Na, Cl, I, F, Br, Halogens, All Metals, Alkaline Metals, O/C, H/C, P/C, N/P"
41,Class,Organic acids and derivatives,"C, O, P, N, S, K, Na, Li, Ca, Mg, Gd, Pr, Si, As, B, Ge, Sb, Al, Bi, Co, Cu, Fe, Mo, Mn, Zr, V, Hg, Au, Pt, Zn, Cl, I, F, Br, Se, Ga, Sn, Pb, Tc, Rh, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, O/C, H/C, P/C, N/P"
42,Class,Organic oxygen compounds,"C, O, P, N, S, K, Na, Ca, Te, As, B, Fe, Ti, Pt, Cl, F, Br, Sn, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
43,Class,Organohalogen compounds,"C, O, P, N, S, Li, B, Cl, I, F, Br, Halogens, All Metals, Alkaline Metals, O/C, H/C, P/C, N/P"
44,Class,Organoheterocyclic compounds,"C, O, P, N, S, K, Na, Li, Ca, Mg, Si, As, B, Al, Cr, Co, Cu, Fe, Mo, Ti, W, Ni, Ag, Hg, Ru, Pt, Re, Zn, Os, Ir, Cl, I, F, Br, Se, Sn, U, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Actinoids, O/C, H/C, P/C, N/P"
45,Class,Organometallic compounds,"C, O, N, Na, Li, Mg, Si, As, Hg, Zn, Cl, F, Br, Se, Sn, Pb, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C"
46,Class,Organophosphorus compounds,"C, O, P, N, S, Ni, Cl, Br, Halogens, All Metals, Transition Metals, O/C, H/C, P/C, N/P"
47,Class,Organosulfur compounds,"C, O, P, N, S, K, Na, Te, B, Fe, Ag, Hg, Zn, Cl, I, F, Br, Se, Charge, Halogens, All Metals, Alkaline Metals, Transition Metals, O/C, H/C, P/C, N/P"
48,Class,Phenylpropanoids and polyketides,"C, O, P, N, S, K, Na, B, Fe, Cl, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Transition Metals, O/C, H/C, P/C, N/P"
49,Subclass,5'-deoxyribonucleosides,"C, O, P, N, S, Cl, F, Se, Charge, Halogens, O/C, H/C, P/C, N/P"
50,Subclass,Alkali metal oxoanionic compounds,"H, O, P, N, S, K, Na, Rb, Li, Cs, Si, As, B, Mo, W, V, Cl, I, Br, Se, Charge, Halogens, All Metals, Alkaline Metals, Transition Metals"
51,Subclass,Alkali metal salts,"H, O, P, N, K, Na, Li, Cs, Si, Pd, Pt, Os, Cl, I, F, Br, Halogens, All Metals, Alkaline Metals, Transition Metals"
52,Subclass,Alkaline earth metal oxoanionic compounds,"H, O, P, N, S, Ca, Mg, Be, Sr, Ba, Si, As, Cl, I, Br, Halogens, All Metals, Alkaline Earth Metals, N/P"
53,Subclass,Alkyl halides,"C, O, N, S, Cl, I, F, Br, Halogens, O/C, H/C"
54,Subclass,Amaryllidaceae alkaloids,"C, O, N, F, Halogens, O/C, H/C"
55,Subclass,Anthracenes,"C, O, N, S, Na, Ca, Eu, B, Cl, F, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Lanthanoids, O/C, H/C"
56,Subclass,Aryl halides,"C, O, N, S, B, Cl, I, F, Br, Halogens, O/C, H/C"
57,Subclass,Azoles,"C, O, P, N, S, Na, Si, B, Cl, I, F, Br, Se, Sn, Charge, Halogens, All Metals, Alkaline Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
58,Subclass,Azolidines,"C, O, P, N, S, Cl, F, Br, Charge, Halogens, O/C, H/C, P/C, N/P"
59,Subclass,Azolines,"C, O, N, S, Cl, I, F, Br, Halogens, O/C, H/C"
60,Subclass,Benzazepines,"C, O, N, S, Cl, F, Br, Halogens, O/C, H/C"
61,Subclass,Benzene and substituted derivatives,"C, O, P, N, S, K, Na, Li, Ca, Mg, Si, As, B, Sb, Al, Bi, Cu, Mo, Hg, Zn, Cl, I, F, Br, Sn, Pb, Rh, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
62,Subclass,Benzimidazoles,"C, O, N, S, Na, Mg, Cl, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, O/C, H/C"
63,Subclass,Benzodiazepines,"C, O, N, S, K, Cl, F, Br, Charge, Halogens, All Metals, Alkaline Metals, O/C, H/C"
64,Subclass,Benzodioxanes,"C, O, N, S, Cl, F, Br, Charge, Halogens, O/C, H/C"
65,Subclass,Benzofurans,"C, O, N, S, Cl, I, F, Br, Halogens, O/C, H/C"
66,Subclass,Benzophenanthridine alkaloids,"C, O, N, Charge, O/C, H/C"
67,Subclass,Benzopyrans,"C, O, P, N, S, K, Na, Li, Si, As, Hg, Cl, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Transition Metals, O/C, H/C, P/C, N/P"
68,Subclass,Benzothiazepines,"C, O, N, Cl, Br, Halogens, O/C, H/C"
69,Subclass,Benzothiazines,"C, O, N, S, Cl, F, Br, Charge, Halogens, O/C, H/C"
70,Subclass,Benzothiophenes,"C, O, N, S, Cl, Halogens, O/C, H/C"
71,Subclass,Benzoxazines,"C, O, N, S, As, Cl, F, Br, Charge, Halogens, O/C, H/C"
72,Subclass,Benzoxazoles,"C, O, P, N, S, Cl, F, Br, Charge, Halogens, O/C, H/C, P/C, N/P"
73,Subclass,Benzoxepines,"C, O, N, Cl, Br, Charge, Halogens, O/C, H/C"
74,Subclass,Carboximidic acids and derivatives,"C, O, N, S, Hg, Cl, F, Br, Halogens, All Metals, Transition Metals, O/C, H/C"
75,Subclass,Carboxylic acids and derivatives,"C, O, P, N, S, K, Na, Li, Ca, Mg, Gd, Pr, Si, As, B, Ge, Sb, Al, Bi, Co, Fe, Mo, Mn, V, Hg, Au, Pt, Zn, Cl, I, F, Br, Se, Ga, Sn, Pb, Rh, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, O/C, H/C, P/C, N/P"
76,Subclass,Cinnamic acids and derivatives,"C, O, N, S, Cl, I, F, Br, Charge, Halogens, O/C, H/C"
77,Subclass,Coumarins and derivatives,"C, O, P, N, S, K, Na, Cl, F, Br, Halogens, All Metals, Alkaline Metals, O/C, H/C, P/C, N/P"
78,Subclass,Diarylheptanoids,"C, O, N, S, Cl, F, Br, Halogens, O/C, H/C"
79,Subclass,Diazanaphthalenes,"C, O, P, N, S, Cl, F, Br, Charge, Halogens, O/C, H/C, P/C, N/P"
80,Subclass,Diazines,"C, O, P, N, S, K, Na, Ca, Si, B, Cl, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, O/C, H/C, P/C, N/P"
81,Subclass,Dibenzylbutane lignans,"C, O, S, O/C, H/C"
82,Subclass,Dihydrofurans,"C, O, P, N, S, Na, Ca, Mg, Fe, Cl, F, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, O/C, H/C, P/C"
83,Subclass,Dioxanes,"C, O, N, Hg, Cl, I, Br, Halogens, All Metals, Transition Metals, O/C, H/C"
84,Subclass,Epoxides,"C, O, N, Cl, F, Br, Halogens, O/C, H/C"
85,Subclass,Ergoline and derivatives,"C, O, N, S, Br, Charge, Halogens, O/C, H/C"
86,Subclass,Fatty Acyls,"C, O, P, N, S, K, Na, Ca, Mg, As, B, Al, Fe, Au, Zn, Cl, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
87,Subclass,Flavonoids,"C, O, N, S, B, Cl, I, Charge, Halogens, O/C, H/C"
88,Subclass,Furanoid lignans,"C, O, O/C, H/C"
89,Subclass,Furans,"C, O, N, S, Cl, F, Br, Halogens, O/C, H/C"
90,Subclass,Glycerolipids,"C, O, P, N, S, O/C, H/C, P/C, N/P"
91,Subclass,Glycerophospholipids,"C, O, P, N, S, Na, As, Charge, All Metals, Alkaline Metals, O/C, H/C, P/C, N/P"
92,Subclass,Halogen organides,"C, O, N, S, Cl, I, F, Br, Charge, Halogens"
93,Subclass,Halohydrins,"C, O, Cl, F, Br, Halogens, O/C, H/C"
94,Subclass,Homoisoflavonoids,"C, O, O/C, H/C"
95,Subclass,Hydroxy acids and derivatives,"C, O, N, S, K, Na, Sb, Cu, Cl, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Transition Metals, O/C, H/C"
96,Subclass,Indanes,"C, O, N, S, Na, Cl, F, Br, Halogens, All Metals, Alkaline Metals, O/C, H/C"
97,Subclass,Indoles and derivatives,"C, O, P, N, S, K, Na, Si, Fe, Cl, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Transition Metals, O/C, H/C, P/C, N/P"
98,Subclass,Isoflavonoids,"C, O, N, S, Na, Cl, F, Br, Charge, Halogens, All Metals, Alkaline Metals, O/C, H/C"
99,Subclass,Isoindoles and derivatives,"C, O, P, N, S, Si, B, Cl, F, U, Charge, Halogens, All Metals, Actinoids, O/C, H/C, P/C, N/P"
100,Subclass,Isoquinolines and derivatives,"C, O, N, S, Cl, F, Br, Charge, Halogens, O/C, H/C"
101,Subclass,Keto acids and derivatives,"C, O, P, N, S, Na, Ca, Al, Cl, F, Br, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Post Transition Metals, O/C, H/C, P/C"
102,Subclass,Lactones,"C, O, N, S, Cl, I, Br, Halogens, O/C, H/C"
103,Subclass,Lignan lactones,"C, O, P, N, S, O/C, H/C, P/C"
104,Subclass,"Linear 1,3-diarylpropanoids","C, O, P, N, S, Na, B, Cl, I, F, Br, Halogens, All Metals, Alkaline Metals, O/C, H/C, P/C"
105,Subclass,Lupin alkaloids,"C, O, N, S, Cl, Halogens, O/C, H/C"
106,Subclass,Macrolides and analogues,"C, O, N, S, B, Cl, Br, Halogens, O/C, H/C"
107,Subclass,Metalloid organides,"H, O, Na, Te, Si, As, B, Sb, Charge, All Metals, Alkaline Metals"
108,Subclass,Miscellaneous mixed metal/non-metals,"C, O, N, S, K, Na, Li, Be, Te, Si, As, B, Ge, Sb, Al, Bi, Cr, Co, Cu, Fe, Mo, Mn, W, Ni, V, Ag, Hg, Au, Ru, Se, Ga, Sn, Tl, Pb, Xe, In, Po, Rh, Charge, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C"
109,Subclass,Naphthalenes,"C, O, P, N, S, K, Na, Li, Ba, B, Cu, Fe, Cl, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, O/C, H/C, P/C, N/P"
110,Subclass,Naphthopyrans,"C, O, N, S, Cl, F, Br, Halogens, O/C, H/C"
111,Subclass,Neoflavonoids,"C, O, N, S, Na, Cl, Br, Charge, Halogens, All Metals, Alkaline Metals, O/C, H/C"
112,Subclass,Non-metal oxoanionic compounds,"H, O, P, N, S, Cl, I, F, Br, Halogens, N/P"
113,Subclass,Nucleoside and nucleotide analogues,"C, O, P, N, S, F, Br, Halogens, O/C, H/C, P/C, N/P"
114,Subclass,Organic carbonic acids and derivatives,"C, O, P, N, S, Na, Ca, Mg, Bi, Zn, Cl, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C"
115,Subclass,Organic disulfides,"C, O, N, S, O/C, H/C"
116,Subclass,Organic metal salts,"C, O, P, N, S, K, Na, Li, Ca, Cr, Cu, Fe, Mo, W, Ni, V, Hg, Au, Zn, Charge, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, O/C, H/C, P/C, N/P"
117,Subclass,Organic oxoanionic compounds,"C, O, P, N, S, K, Na, Te, B, Fe, Pt, Cl, F, Charge, Halogens, All Metals, Alkaline Metals, Transition Metals, O/C, H/C, P/C, N/P"
